property_name,society,property_type,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,additionalRoom,address,floorNum,facing,agePossession,nearbyLocations,furnishDetails,features,rating
4 Bedroom House for sale in DLF Phase 1,dlf city plots,house,4.0,40775.0,980.9932556713673,Plot area 109(91.14 sq.m.),4,3,2,not available,"DLF Phase 1, Gurgaon, Haryana",2,NA,1 to 5 Year Old,"['Phase 2 Metro Station', 'Grand Mall', 'Jacaranda Marg', 'NH 148A', 'Lancers International School', 'The NorthCap University', 'RBS HOSPITAL', 'Indira Gandhi Intl Airport']","['7 Fan', '1 Exhaust Fan', '2 Geyser', '10 Light', '2 AC', '1 Chimney', '6 Curtains', '1 Modular Kitchen', '4 Wardrobe', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",,"['Environment5 out of 5', 'Lifestyle5 out of 5', 'Connectivity5 out of 5', 'Safety5 out of 5']"
8 Bedroom House for sale in New Basti,independent,house,2.4,99173.0,242.00135117421073,Plot area 242(22.48 sq.m.),8,4,2,not available,"New Basti, Gurgaon, Haryana",2,NA,10+ Year Old,"['Hanuman Mandir', 'Dr. Ajay S. Gupta Clinic', 'Sharma Hospital Gurgaon', 'Rajiv Memorial Eye Infirmary Jacobpura', 'Triveni Hospital Gurgaon', 'My Care Clinic', 'Gupta Hospital Gurgaon', 'M.S Hospital', 'Bindal Clinic', 'Rama Hospital & Nursing Home', 'Pasricha Hospital and Maternity Home', 'Verma E.N.T. Hospital', 'Swastik Maternity and Medical Centre', 'Nova Care Clinic', 'Shubham Hospital Gurgaon', 'Tirath Ram Hospitals Pvt Ltd', 'Sethi Hospital Gurgaon', 'Nangia Hospital Ent and Maternity', 'Satyam Hospital Gurgaon', 'Ahooja Eye and Dental Institute Hospital', 'Dr. Sandeep Chauhan', 'Aarvy Hospital', 'Lall Eye Care Centre', 'Om Charitable Dental & Implant Centre', 'Kharbanda Maternity and Nursing Home', 'Lall Nursing and Maternity Home', 'Dental Health Centre', 'Chiranjiv Hospital', 'Dentecare - Multispeciality Dental Clinic', 'Lalit Dental Care', 'Dev Man Kathuria Clinic', 'M Goel Hospital', 'Ravi Clinic and Health Care Centre', 'Kidney Clinic', 'Thakral Nursing and Maternity Home', 'Vinayak Hospital Gurgaon', 'Centre For Sight Gurgaon New Railway Road', 'Dr. Sarvejeet Singh', 'Lal Superspeciality Hospital', 'Shri Gobind Hospital', 'Dr. Madan Clinic', 'Parashar Hospital', 'Geeta Nursing Home Gurgaon', 'IBP Petrol Station', 'Indian Oil', 'Punjab national bank', 'State bank of india', 'govt sec school', 'Dronacharya Government College', 'District library gurgaon']",[],"['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water Storage']",
4 Bedroom House for sale in Shivaji Nagar,not applicable,house,2.2,12222.0,1800.0327278677794,Plot area 1800(167.23 sq.m.),4,3,2,"pooja room,study room",,1,South,10+ Year Old,"['Rajiv Chowk Mosque', 'Hanuman Mandir', 'Hdfc bank ATM', 'State bank of india ATM', 'Pushpanjali Hospital Gurgaon', 'Pushpanjali Hospital', 'Bansal Medicare and Maternity Centre', 'Smile Plus Dental Clinic', 'Thakral Nursing and Maternity Home', 'Rajendra Hospital', 'Aarvy Hospital', 'Vinayak Hospital Gurgaon', 'Dayal Eye & Maternity Centre', 'Parashar Hospital', 'Kathuria Hospital', 'Rama Hospital & Nursing Home', 'Nangia Hospital Ent and Maternity', 'Pasricha Hospital and Maternity Home', 'Shubham Hospital Gurgaon', 'Sethi Hospital Gurgaon', 'Rachna Dental Clinic', 'Tirath Ram Hospitals Pvt Ltd', 'Medanta', 'Parmar Dental Clinic & Lab', 'Sharma Hospital Gurgaon', 'Ahmed Hospital Multi Speciality', 'Samvit Health Care', 'Rajiv Memorial Eye Infirmary Jacobpura', 'Airforce Hospital', 'Dr. Ajay S. Gupta Clinic', 'Dr. Sandeep Chauhan', 'Lal Superspeciality Hospital', 'Mangalam Hospital and Heart Centre Gurgaon', 'Bhanu Dental Care', 'Shri Gobind Hospital', 'Ahooja Eye and Dental Institute Hospital', 'Nutan Dental Hospital', 'Gurgaon Election Commission', 'Road and Traffic Authority', 'Indian Oil', 'IBP Petrol Station', 'IBP Petrol Pump', 'Punjab national bank', 'Darbar', 'KFC', 'Kendriya Vidyalaya No.2 Sohna Road', 'govt sec school', 'CR Model Public School', 'District library gurgaon']",[],"['Private Garden / Terrace', 'Park', 'Visitor Parking']","['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5', 'Safety4 out of 5']"
8 Bedroom House for sale in Manesar,independent,house,1.1,6172.0,1782.242384964355,Plot area 1782(165.55 sq.m.),8,8,0,not available,"Manesar, Gurgaon, Haryana",1,NA,0 to 1 Year Old,"['Dr. Sahil Clinic', 'Pooja Clinic', 'Yadav Dental & Eye Care', 'Prakash Hospital', 'Shri Rade Clinic', 'Dental Hospital', 'Petrol pump Maitri motors', 'Petrol Pump', ""McDonald's"", ""McDonald's"", 'Rao Dhaba']",[],,"['Environment4 out of 5', 'Lifestyle3.5 out of 5', 'Connectivity4 out of 5', 'Safety4 out of 5']"
4 Bedroom House for sale in New Colony,independent,house,8.0,22222.0,3600.0360003600035,Plot area 400(334.45 sq.m.),4,5,3+,"study room,servant room,pooja room","New Colony, Gurgaon, Haryana",1,North-East,10+ Year Old,"['Geeta Nursing Home Gurgaon', 'Chiranjiv Hospital', 'Taneja Hospital', 'Dr. Madan Clinic', 'Pearl Dental Clinic', 'Swastik Maternity and Medical Centre', 'Dev Man Kathuria Clinic', 'Ravi Clinic and Health Care Centre', 'Aryan Hospital', 'Bindal Clinic', 'M.S Hospital', 'My Care Clinic', 'D.R. Rajnis Gupta Clinic', 'Satyam Hospital Gurgaon', 'Triveni Hospital Gurgaon', 'Dr. Ashok Jain', 'Sparsh Hospital Gurgaon', 'Bhatnagar Maternity and Nursing Home', 'Shiv Mahima Patient Care Bureau', 'Shri Gobind Hospital', 'Gurgaon Eye Centre', 'Dr. Ajay S. Gupta Clinic', 'Lal Superspeciality Hospital', 'Dr. Sarvejeet Singh', 'Centre For Sight Gurgaon New Railway Road', 'Kidney Clinic', 'Kharbanda Maternity and Nursing Home', 'Gupta Hospital Gurgaon', 'Navjeevan Hospital and Maternity Centre', 'Dentecare - Multispeciality Dental Clinic', 'Lall Eye Care Centre', 'Om Charitable Dental & Implant Centre', 'Lalit Dental Care', 'Lall Nursing and Maternity Home', 'Tirath Ram Hospitals Pvt Ltd', 'Ankur Clinic and Maternity Home', 'M Goel Hospital', 'Shubham Hospital Gurgaon', 'Verma E.N.T. Hospital', 'Sethi Hospital Gurgaon', 'Nova Care Clinic', 'Dental Health Centre', 'Rajiv Memorial Eye Infirmary Jacobpura', 'Pasricha Hospital and Maternity Home', 'Sharma Hospital Gurgaon', 'State bank of india', 'Hdfc bank', 'Pizza Hut', 'St. Michaels Sr. Sec. School', 'Dronacharya Government College']","['4 Bed', '5 Wardrobe', '5 Fan', '21 Light', '4 AC', '2 TV', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No Washing Machine', 'No Water Purifier']","['Private Garden / Terrace', 'Water Storage', 'Park', 'Visitor Parking']","['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety4 out of 5']"
4 Bedroom House for sale in Sector 8 Gurgaon,independent,house,0.82,9111.0,900.0109757436065,Plot area 100(83.61 sq.m.),4,3,3,not available,"539/28, Sector 8 Gurgaon, Gurgaon, Haryana",2,North,5 to 10 Year Old,"['Satyam Hospital Gurgaon', 'Tirath Ram Hospitals Pvt Ltd', 'Shubham Hospital Gurgaon', 'Sethi Hospital Gurgaon', 'Pasricha Hospital and Maternity Home', 'Swastik Maternity and Medical Centre', 'Rama Hospital & Nursing Home', 'Lal Superspeciality Hospital', 'Shri Gobind Hospital', 'Dev Man Kathuria Clinic', 'Nangia Hospital Ent and Maternity', 'My Care Clinic', 'Triveni Hospital Gurgaon', 'M.S Hospital', 'Shiv Mahima Patient Care Bureau', 'Dr. Madan Clinic', 'Chiranjiv Hospital', 'Bindal Clinic', 'Dr. Ajay S. Gupta Clinic', 'Vinayak Hospital Gurgaon', 'Parashar Hospital', 'Navjeevan Hospital and Maternity Centre', 'Kathuria Hospital', 'Sharma Hospital Gurgaon', 'Rajiv Memorial Eye Infirmary Jacobpura', 'Ankur Clinic and Maternity Home', 'Gupta Hospital Gurgaon', 'Ravi Clinic and Health Care Centre', 'Geeta Nursing Home Gurgaon', 'Mangalam Hospital and Heart Centre Gurgaon', 'Thakral Nursing and Maternity Home', 'Verma E.N.T. Hospital', 'Nova Care Clinic', 'Aarvy Hospital', 'Taneja Hospital', 'Kharbanda Maternity and Nursing Home', 'Lall Eye Care Centre', 'Om Charitable Dental & Implant Centre', 'Lall Nursing and Maternity Home', 'Dentecare - Multispeciality Dental Clinic', 'Dental Health Centre', 'D.R. Rajnis Gupta Clinic', 'Lalit Dental Care', 'Ahooja Eye and Dental Institute Hospital', 'Dr. Sandeep Chauhan', 'Kidney Clinic', 'IBP Petrol Station', 'Indian Oil', 'State bank of india', 'Dronacharya Government College']","['3 Wardrobe', '1 Exhaust Fan', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Water Storage']","['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5', 'Safety4 out of 5']"
3 Bedroom House for sale in Ashok Vihar,independent,house,0.9,80357.0,112.0001991114651,Built Up area: 112 (10.41 sq.m.),3,3,0,not available,"Ashok Vihar, Gurgaon, Haryana",2,NA,undefined,,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,"['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5', 'Safety4 out of 5']"
4 Bedroom House for sale in Maruti Kunj,independent,house,0.7,4117.0,1700.2671848433324,Plot area 1700(157.94 sq.m.),4,4,1,not available,"Maruti Kunj, Gurgaon, Haryana",2,NA,5 to 10 Year Old,,[],,"['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety4 out of 5']"
5 Bedroom House for sale in Laxmi Garden,independent,house,0.95,7308.0,1299.9452654625068,Built Up area: 1300 (120.77 sq.m.),5,3,0,not available,"Laxmi Garden, Laxmi Garden, Gurgaon, Haryana",1,NA,undefined,,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,"['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5', 'Safety4 out of 5']"
4 Bedroom House for sale in Mohan Nagar,independent,house,1.3,8701.0,1494.0811400988391,Plot area 166(138.8 sq.m.),4,4,2,not available,"Mohan Nagar, Gurgaon, Haryana",1,East,10+ Year Old,"['Astha Hospital', 'Kamal Hospital and Maternity Centre', 'SPAZE BUSINESS PARK', 'Kore Tech Park', 'Dhillon Filling Station', 'Icici bank']",,,
1 Bedroom House for sale in Sector 9B Gurgaon,independent,house,0.36,8000.0,450.0,Built Up area: 450 (41.81 sq.m.),1,1,0,not available,"Basai Village, Sector 9b, Gurgaon, Sector 9B Gurgaon, Gurgaon, Haryana",1,NA,undefined,"['State bank ATM', 'Shri Multispeciality Hospital', 'Kamla Hospital Gurgaon', 'Esic Hospital Gurugram', 'Shri Balaji Hospital and Trauma Center', 'Shree Krishna Hospital Gurgaon', 'Yadav Hospital Gurgoan', 'Ankur Clinic and Maternity Home', 'Kr Dental Hub', 'Dr. Ashok Jain', 'Navjeevan Hospital and Maternity Centre', 'Taneja Hospital', 'Boxer Fuel Point', 'Hdfc bank', 'Kotak bank', 'Indian bank', 'Pizza Hut', 'Basai dhankot railway station']","['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,
6 Bedroom House for sale in Saraswati Vihar,housing board colony,house,3.5,25926.0,1349.9961428681631,Plot area 150(125.42 sq.m.),6,6,3,not available,"000, Saraswati Vihar, Gurgaon, Haryana",3,NA,1 to 5 Year Old,"['Mg road metro station', 'Iffco chowk metro station', 'Arya Samaj Mandir', 'Jain Bhawan', 'Axis bank ATM', 'Standard chartered ATM', 'Kotak mahindra bank ATM', 'Punjab national bank ATM', 'Icici bank ATM', 'Sidhesh Hospital Gurgaon', 'Lord Krishna Hospital', 'Sitaram Bhartia', 'Uma Sanjeevani Health Centre And Hospital', 'Privat Hospital', 'Umkal Hospital', 'Divine Look Clinic Centre 1', 'Surgi Center Clinic', 'Religare Wellness', '98.4', 'Guardian', 'DT Cinemas', 'PVR Metropolitan', 'PVR Cinames', 'PVR Cinames', 'DT Cinemas', 'Indusind bank', 'Abn amro bank', 'Lord krishna bank', 'Hdfc bank', 'Kotak mahindra bank', 'Hsbc bank', 'Axis bank', 'Axis bank', 'Barbecue Grill', 'NutrioBox Gurugram', 'Pan Bangkok', 'Dighent cafe', 'Fat', 'Nowhere Brewpub and cafe', 'Belgian Waffle', 'Drunken Monkey', 'Blue Tokai Coffee Roasters', 'CCD', 'Starbucks', 'Pizza Hut', 'Food Court', 'Naveidyam', 'Bahrisons library']",[],,"['Environment4 out of 5', 'Lifestyle5 out of 5', 'Connectivity5 out of 5', 'Safety4 out of 5']"
8 Bedroom House for sale in IMT Manesar,independent,house,0.8,6666.0,1200.1200120012002,Plot area 1200(111.48 sq.m.),8,8,2,not available,"IMT Manesar, Gurgaon, Haryana",1,NA,1 to 5 Year Old,"['Amba Clinic', 'Ragave Clinic', 'Sercare Clinic', 'Om Clinic', 'Ram Clinic', 'Kushi Clinic', 'Promla Clinic', 'Shree Balaji Clinic', 'Rathore Imt Hospital', 'Dental Hospital', 'Nidan Hospital and Trauma Centre', 'Sagar Clinic', 'Dr. J. S. Sarkar Clinic', 'Bangali Clinic', 'Yadav Clinic', 'Prakash Hospital', 'Petrol pump Maitri motors', ""Domino's Pizza""]",[],,"['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4.5 out of 5', 'Safety4 out of 5']"
2 Bedroom House for sale in Bhora Kalan,independent,house,0.15,2296.0,653.3101045296168,Plot area 75(62.71 sq.m.),2,1,0,not available,"Bhora Kalan, Gurgaon, Haryana",1,NA,10+ Year Old,,,,
9 Bedroom House for sale in near nand hospital,rajendra park sec 105,house,0.8,8888.0,900.0900090009001,Plot area 900(83.61 sq.m.)Built Up area: 990 sq.ft. (91.97 sq.m.)Carpet area: 975 sq.ft. (90.58 sq.m.),9,5,3+,not available,"5580/30, near nand hospital, Gurgaon, Haryana",3,NA,10+ Year Old,"['Hanuman Mandir', 'Sharma Hospital Gurgaon', 'Rajiv Memorial Eye Infirmary Jacobpura', 'Dr. Ajay S. Gupta Clinic', 'Aarvy Hospital', 'Rama Hospital & Nursing Home', 'Pasricha Hospital and Maternity Home', 'Gupta Hospital Gurgaon', 'Thakral Nursing and Maternity Home', 'Dr. Sandeep Chauhan', 'Nangia Hospital Ent and Maternity', 'Ahooja Eye and Dental Institute Hospital', 'Shubham Hospital Gurgaon', 'Triveni Hospital Gurgaon', 'Verma E.N.T. Hospital', 'Nova Care Clinic', 'Sethi Hospital Gurgaon', 'My Care Clinic', 'Tirath Ram Hospitals Pvt Ltd', 'M.S Hospital', 'Bindal Clinic', 'Vinayak Hospital Gurgaon', 'Dental Health Centre', 'Lall Eye Care Centre', 'Om Charitable Dental & Implant Centre', 'Lall Nursing and Maternity Home', 'Swastik Maternity and Medical Centre', 'Kharbanda Maternity and Nursing Home', 'Dentecare - Multispeciality Dental Clinic', 'Satyam Hospital Gurgaon', 'Parashar Hospital', 'Lalit Dental Care', 'M Goel Hospital', 'Kathuria Hospital', 'Chiranjiv Hospital', 'Kidney Clinic', 'Centre For Sight Gurgaon New Railway Road', 'Lal Superspeciality Hospital', 'Dev Man Kathuria Clinic', 'Shri Gobind Hospital', 'Dr. Sarvejeet Singh', 'Ravi Clinic and Health Care Centre', 'Jackson Hospital', 'Dr. Madan Clinic', 'IBP Petrol Station', 'Indian Oil', 'Punjab national bank', 'govt sec school', 'Dronacharya Government College', 'District library gurgaon']","['2 Wardrobe', '10 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",,
8 Bedroom House for sale in DLF Phase 1,independent,house,6.0,33333.0,1800.0180001800018,Plot area 200(167.23 sq.m.),8,5,3+,not available,"DLF Phase 1, Gurgaon, Haryana",3,NA,10+ Year Old,"['Guru dronacharya metro station', 'Dlf phase 1 metro station', 'Sikandarpur rmrg metro station', 'Sikanderpur metro station', 'Sikandarpur metro station', 'Dlf phase 2 metro station', 'Hanuman Mandir', 'Icici bank ATM', 'Axis bank ATM', 'Central bank ATM', 'Central bank atm teste 001112', 'Sikka Maternity And Surgical Center', 'Anahat Hospital', 'Divine Look Clinic Centre 1', 'The Dental Lounge', ""St Stephen's Hospital Health Care Facility"", 'Marwah Clinic', 'Durga Poly Clinic', 'Krishna Family Clinic', 'Upkar Clinic', 'Surgi Center Clinic', 'Lord Krishna Hospital', 'Uma Sanjeevani Health Centre And Hospital', 'Cosmodentz Dental Clinic', 'Kailash Nursing Home Gurgaon', ""Dr. Khullar's Dental Clinic"", 'Relief Physiotherapy Clinic', 'RBS Dental Clinic', 'Sidhesh Hospital Gurgaon', 'Shri Ram Memorial Hospital', 'R.N Clinic', 'Dental Cure and Care Centre', 'Religare Wellness', '98.4', 'Guardian', 'Emaar Business Park', 'Axis bank', 'Hsbc bank', 'Kotak mahindra bank', 'Hdfc bank', 'Lord krishna bank', 'Indusind bank', 'Abn amro bank', 'PVR Cinames', 'Food Court', 'Nowhere Brewpub and cafe']","['8 Bed', '8 Wardrobe', '5 Geyser', '10 AC', '1 Modular Kitchen', '1 Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",['Private Garden / Terrace'],"['Environment5 out of 5', 'Lifestyle5 out of 5', 'Connectivity5 out of 5', 'Safety5 out of 5']"
10 Bedroom House for sale in Shivpuri,shivpuri,house,2.8,12444.0,2250.0803600128575,Plot area 2250(209.03 sq.m.),10,7,3,"pooja room,study room,servant room,others","184/9, Shivpuri, Gurgaon, Haryana",1,NA,10+ Year Old,"['Chintapurni Mandir', 'State bank ATM', 'Aryan Hospital', 'Geeta Nursing Home Gurgaon', 'D.R. Rajnis Gupta Clinic', 'Gurgaon Eye Centre', 'Pearl Dental Clinic', 'Dr. Ashok Jain', 'Ravi Clinic and Health Care Centre', 'Taneja Hospital', 'Sparsh Hospital Gurgaon', 'Chiranjiv Hospital', 'Bhatnagar Maternity and Nursing Home', 'Jain Sant Phool Chand Ji Charitable Hospital', 'Sarvodya Hospital', 'Bindal Clinic', 'M.S Hospital', 'Swastik Maternity and Medical Centre', 'Dr. Sarvejeet Singh', 'Dr. Madan Clinic', 'My Care Clinic', 'Triveni Hospital Gurgaon', 'Centre For Sight Gurgaon New Railway Road', 'Kr Dental Hub', 'Dr. Agya Ram Sharma Clinic', 'Dev Man Kathuria Clinic', 'Kidney Clinic', 'Dr. Sindhu Clinic', 'Kharbanda Maternity and Nursing Home', 'Lalit Dental Care', 'Satyam Hospital Gurgaon', 'Dentecare - Multispeciality Dental Clinic', 'Lall Eye Care Centre', 'GH Gurgaon', 'Om Charitable Dental & Implant Centre', 'Lall Nursing and Maternity Home', 'M Goel Hospital', 'Prateek Nursing Home And Polyclinic', 'Jackson Hospital', 'Gupta Hospital Gurgaon', 'Dr. Ajay S. Gupta Clinic', 'Dental Health Centre', 'Nova Care Clinic', 'State bank of india', 'Hdfc bank', 'Kotak bank', 'Indian bank', 'Pizza Hut', 'St. Michaels Sr. Sec. School', 'Dronacharya Government College']","['12 Fan', '1 Sofa', '1 Exhaust Fan', '6 Geyser', '20 Light', '3 Chimney', '20 Curtains', 'No AC', 'No Bed', 'No Dining Table', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,"['Environment4 out of 5', 'Lifestyle5 out of 5', 'Connectivity5 out of 5', 'Safety5 out of 5']"
4 Bedroom House for sale in Sector 92 Gurgaon,ansal heights,house,2.75,9793.0,2808.128254875932,Plot area 312(260.87 sq.m.)Built Up area: 5000 sq.yards (4180.64 sq.m.),4,4,3+,"pooja room,study room","Sector 92 Gurgaon, Gurgaon, Haryana",3,NA,1 to 5 Year Old,"['Relience SEZ', 'Dwarka Expressway', 'KMP Global Corridor', 'NH-8', 'IMT Manesar']",,,"['Environment5 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety3 out of 5']"
4 Bedroom House for sale in Sector 76 Gurgaon,ninex city,house,1.75,6250.0,2800.0,Carpet area: 2800 (260.13 sq.m.),4,4,0,not available,"Sector 76, Delhi Gurgaon Expressway, Sector 76 Gurgaon, Gurgaon, Haryana",14,NA,undefined,,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,
5 Bedroom House for sale in Sector 72 Gurgaon,spaze privy,house,3.1,8486.0,3653.0756540183834,Plot area 3653(339.37 sq.m.),5,5,3+,not available,"Sector 72, Sector 72 Gurgaon, Gurgaon, Haryana",21,NA,1 to 5 Year Old,,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,"['Environment4.5 out of 5', 'Lifestyle4.5 out of 5', 'Connectivity5 out of 5', 'Safety4.5 out of 5']"
5 Bedroom House for sale in Jyoti Park,independent,house,1.16,11717.0,990.0145088333192,Carpet area: 110 (91.97 sq.m.),5,4,2,not available,"Jyoti Park, Sector 7, Jyoti Park, Gurgaon, Haryana",1,North-East,undefined,,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,"['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety4 out of 5']"
3 Bedroom House for sale in Sohna,signature global park,house,0.85,7589.0,1120.0421662933193,Built Up area: 1120 (104.05 sq.m.),3,2,2,not available,"Signature Global Park 4 Phase Ii, Sector 36 Sohna, Gurgaon, Sohna, Gurgaon, Haryana",1,NA,Jun 2024,"['Sector 55-56 metro', 'Global city centre', 'Sohna road dhunela', 'Gd goenka university', 'Maharana pratap school', 'Vardaan hospital and trauma centre', 'Indira Gandhi International Airport', 'Garhi harsaru railway station Gurgaon']","['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Park', 'Visitor Parking']","['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity5 out of 5', 'Safety4 out of 5']"
4 Bedroom House for sale in Subhash Nagar,independent,house,0.9,13333.0,675.0168754218855,Built Up area: 675 (62.71 sq.m.),4,4,0,not available,"Subhash Nagar, Sector 12a, Subhash Nagar, Gurgaon, Haryana",2,NA,undefined,,"['1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,"['Environment3.5 out of 5', 'Lifestyle4.5 out of 5', 'Connectivity5 out of 5', 'Safety4 out of 5']"
2 Bedroom House for sale in New Palam Vihar,my home,house,0.34,12592.0,270.012706480305,Plot area 270(25.08 sq.m.),2,2,2,not available,"Ez-19 A, New Palam Vihar, Gurgaon, Haryana",3,West,5 to 10 Year Old,"['Palam Vihar Vyapar kendra', 'Palam triangle', 'HUDA Sector 23 Market', 'Ram Mandir', 'Kalyan Hospital Gurgaon', 'Chirag Hospital Pvt. Ltd', 'R K Hospital Gurgaon', 'Metro Hospital and Heart Institute Gurgaon', ""DR KAPOOR'S Dental Care and Implant Centre"", 'Bhardwaj Hospital', 'Jiya Clinic', 'Dr. Mittal Clinic', ""Dr. Anurag's Child Care Clinic"", 'Yashroop Medical Centre', 'Sneh Hospital Gurgaon', 'Dr. Hitesh Dawar', 'Axis bank', 'Big Cinemas', ""McDonald's"", 'Cafe Coffee Day', 'Moti Mahal', 'Pizza Hut', 'Pind Baluchi', ""Domino's Pizza"", 'Om Sweets', 'Chiranjiv Bharati School', 'Masti ki Pathshala Teach India', 'THE NORTHCAP UNIVERSITY', 'Palam vihar railway station', 'Gurgaon railway station', 'Gurgaon railway station', 'Gurgaon railway station']","['1 Wardrobe', '3 Fan', '6 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Water Storage', 'Park', 'Visitor Parking']","['Environment4 out of 5', 'Lifestyle4 out of 5', 'Connectivity4 out of 5', 'Safety4 out of 5']"
6 Bedroom House for sale in Palam Vihar,independent,house,5.0,15384.0,3250.130005200208,Carpet area: 3250 (301.93 sq.m.),6,6,2,not available,"Palam Vihar, Palam Vihar, Gurgaon, Haryana",1,South,undefined,,"['1 Wardrobe', '1 Fan', '1 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",,"['Environment5 out of 5', 'Lifestyle5 out of 5', 'Connectivity5 out of 5', 'Safety4 out of 5']"
